Year,FullTeam,ID,Payroll
2014,New York Yankees,20,203812506
2014,Oakland Athletics,21,83401400
2014,Philadelphia Phillies,22,180052723
2014,Pittsburgh Pirates,23,78111667
2014,San Diego Padres,24,90094196
2014,San Francisco Giants,25,154185878
2014,Seattle Mariners,26,92081943
2014,St. Louis Cardinals,27,111020360
2014,Tampa Bay Rays,28,77062891
2014,Texas Rangers,29,136036172
2014,Toronto Blue Jays,30,132628700
2014,Washington Nationals,32,134704437
2014,Miami Marlins,34,47565400
2014,Los Angeles Angels,36,155692000
2013,Arizona Diamondbacks,2,90158500
2013,Atlanta Braves,3,89288193
2013,Baltimore Orioles,4,91793333
2013,Boston Red Sox,5,158967286
2013,Chicago Cubs,6,104150726
2013,Chicago White Sox,7,124065277
2013,Cincinnati Reds,8,110565728
2013,Cleveland Indians,35,82517300
2013,Colorado Rockies,10,75449071
2013,Detroit Tigers,11,149046844
2013,Houston Astros,13,24328538
2013,Kansas City Royals,14,80491725
2013,Los Angeles Dodgers,15,216302909
2013,Milwaukee Brewers,16,91003366
2013,Minnesota Twins,17,75562500
2013,New York Mets,19,88877033
2013,New York Yankees,20,228995945
2013,Oakland Athletics,21,68577000
2013,Philadelphia Phillies,22,159578214
2013,Pittsburgh Pirates,23,66289524
2013,San Diego Padres,24,71689900
2013,San Francisco Giants,25,142180333
2013,Seattle Mariners,26,84295952
2013,St. Louis Cardinals,27,116702085
2013,Tampa Bay Rays,28,57030272
2013,Texas Rangers,29,127197575
2013,Toronto Blue Jays,30,118244039
2013,Washington Nationals,32,112431770
2013,Miami Marlins,34,39621900
2013,Los Angeles Angels,36,142165250
2012,Arizona Diamondbacks,2,74284833
2012,Atlanta Braves,3,83309942
2012,Baltimore Orioles,4,81428999
2012,Boston Red Sox,5,173186617
2012,Chicago Cubs,6,88197033
2012,Chicago White Sox,7,96919500
2012,Cincinnati Reds,8,82203616
2012,Cleveland Indians,35,78430300
2012,Colorado Rockies,10,78069571
2012,Detroit Tigers,11,132300000
2012,Houston Astros,13,60651000
2012,Kansas City Royals,14,60916225
2012,Los Angeles Dodgers,15,95143575
2012,Milwaukee Brewers,16,97653944
2012,Minnesota Twins,17,94085000
2012,New York Mets,19,93353983
2012,New York Yankees,20,197962289
2012,Oakland Athletics,21,55372500
2012,Philadelphia Phillies,22,174538938
2012,Pittsburgh Pirates,23,63431999
2012,San Diego Padres,24,55244700
2012,San Francisco Giants,25,81978100
2012,Seattle Mariners,26,117620683
2012,St. Louis Cardinals,27,110300862
2012,Tampa Bay Rays,28,64173500
2012,Texas Rangers,29,120510974
2012,Toronto Blue Jays,30,75489200
2012,Washington Nationals,32,81336143
2012,Miami Marlins,34,118078000
2012,Los Angeles Angels,36,154485166
2011,Arizona Diamondbacks,2,53639833
2011,Atlanta Braves,3,87002692
2011,Baltimore Orioles,4,85304038
2011,Boston Red Sox,5,161762475
2011,Chicago Cubs,6,125047329
2011,Chicago White Sox,7,127789000
2011,Cincinnati Reds,8,75947134
2011,Cleveland Indians,35,49190566
2011,Colorado Rockies,10,88148071
2011,Detroit Tigers,11,105700231
2011,Florida Marlins,34,56944000
2011,Houston Astros,13,70694000
2011,Kansas City Royals,14,36126000
2011,Los Angeles Dodgers,15,104188999
2011,Milwaukee Brewers,16,85497333
2011,Minnesota Twins,17,112737000
2011,New York Mets,19,118847309
2011,New York Yankees,20,202689028
2011,Oakland Athletics,21,66536500
2011,Philadelphia Phillies,22,172976379
2011,Pittsburgh Pirates,23,45047000
2011,San Diego Padres,24,45869140
2011,San Francisco Giants,25,118198333
2011,Seattle Mariners,26,86524600
2011,St. Louis Cardinals,27,105433572
2011,Tampa Bay Rays,28,41053571
2011,Texas Rangers,29,92299264
2011,Toronto Blue Jays,30,62567800
2011,Washington Nationals,32,63856928
2011,Los Angeles Angels,36,138543166
2010,Arizona Diamondbacks,2,60718167
2010,Atlanta Braves,3,84423667
2010,Baltimore Orioles,4,81612500
2010,Boston Red Sox,5,162747333
2010,Chicago Cubs,6,146859000
2010,Chicago White Sox,7,108273197
2010,Cincinnati Reds,8,72386544
2010,Cleveland Indians,35,61203967
2010,Colorado Rockies,10,84227000
2010,Detroit Tigers,11,122864929
2010,Florida Marlins,34,55641500
2010,Houston Astros,13,92355500
2010,Kansas City Royals,14,72267710
2010,Los Angeles Dodgers,15,94945517
2010,Milwaukee Brewers,16,81108279
2010,Minnesota Twins,17,97559167
2010,New York Mets,19,132701445
2010,New York Yankees,20,206333389
2010,Oakland Athletics,21,51654900
2010,Philadelphia Phillies,22,141927381
2010,Pittsburgh Pirates,23,34943000
2010,San Diego Padres,24,37799300
2010,San Francisco Giants,25,97828833
2010,Seattle Mariners,26,98376667
2010,St. Louis Cardinals,27,93540753
2010,Tampa Bay Rays,28,71923471
2010,Texas Rangers,29,55250545
2010,Toronto Blue Jays,30,62689357
2010,Washington Nationals,32,61425000
2010,Los Angeles Angels,36,105013667
2009,Arizona Diamondbacks,2,73516666
2009,Atlanta Braves,3,96726166
2009,Baltimore Orioles,4,67101666
2009,Boston Red Sox,5,121745999
2009,Chicago Cubs,6,134809000
2009,Chicago White Sox,7,96068500
2009,Cincinnati Reds,8,73558500
2009,Cleveland Indians,35,81579166
2009,Colorado Rockies,10,75201000
2009,Detroit Tigers,11,115085145
2009,Florida Marlins,34,36834000
2009,Houston Astros,13,102996414
2009,Kansas City Royals,14,70519333
2009,Los Angeles Dodgers,15,100414592
2009,Milwaukee Brewers,16,80182502
2009,Minnesota Twins,17,65299266
2009,New York Mets,19,149373987
2009,New York Yankees,20,201449189
2009,Oakland Athletics,21,62310000
2009,Philadelphia Phillies,22,113004046
2009,Pittsburgh Pirates,23,48693000
2009,San Diego Padres,24,43734200
2009,San Francisco Giants,25,82616450
2009,Seattle Mariners,26,98904166
2009,St. Louis Cardinals,27,77605109
2009,Tampa Bay Rays,28,63313034
2009,Texas Rangers,29,68178798
2009,Toronto Blue Jays,30,80538300
2009,Washington Nationals,32,60328000
2009,Los Angeles Angels,36,113709000
2008,Arizona Diamondbacks,2,66202712
2008,Atlanta Braves,3,102365683
2008,Baltimore Orioles,4,67196246
2008,Boston Red Sox,5,133390035
2008,Chicago Cubs,6,118345833
2008,Chicago White Sox,7,121189332
2008,Cincinnati Reds,8,74117695
2008,Cleveland Indians,35,78970066
2008,Colorado Rockies,10,68655500
2008,Detroit Tigers,11,137685196
2008,Florida Marlins,34,21811500
2008,Houston Astros,13,88930414
2008,Kansas City Royals,14,58245500
2008,Los Angeles Dodgers,15,118588536
2008,Milwaukee Brewers,16,80937499
2008,Minnesota Twins,17,56932766
2008,New York Mets,19,137793376
2008,New York Yankees,20,209081577
2008,Oakland Athletics,21,47967126
2008,Philadelphia Phillies,22,98269880
2008,Pittsburgh Pirates,23,48689783
2008,San Diego Padres,24,73677616
2008,San Francisco Giants,25,76594500
2008,Seattle Mariners,26,117666482
2008,St. Louis Cardinals,27,99624449
2008,Tampa Bay Rays,28,43820597
2008,Texas Rangers,29,67712326
2008,Toronto Blue Jays,30,97793900
2008,Washington Nationals,32,54961000
2008,Los Angeles Angels,36,119216333
2007,Arizona Diamondbacks,2,52067546
2007,Atlanta Braves,3,87290833
2007,Baltimore Orioles,4,93174808
2007,Boston Red Sox,5,143026214
2007,Chicago Cubs,6,99670332
2007,Chicago White Sox,7,108671833
2007,Cincinnati Reds,8,68524980
2007,Cleveland Indians,35,61673267
2007,Colorado Rockies,10,54041000
2007,Detroit Tigers,11,94800369
2007,Florida Marlins,34,30507000
2007,Houston Astros,13,87759000
2007,Kansas City Royals,14,67116500
2007,Los Angeles Dodgers,15,108454524
2007,Milwaukee Brewers,16,70986500
2007,Minnesota Twins,17,71439500
2007,New York Mets,19,115231663
2007,New York Yankees,20,189259045
2007,Oakland Athletics,21,79366940
2007,Philadelphia Phillies,22,89428213
2007,Pittsburgh Pirates,23,38537833
2007,San Diego Padres,24,58110567
2007,San Francisco Giants,25,90219056
2007,Seattle Mariners,26,106460833
2007,St. Louis Cardinals,27,90286823
2007,Tampa Bay Rays,28,24123500
2007,Texas Rangers,29,68318675
2007,Toronto Blue Jays,30,81942800
2007,Washington Nationals,32,36947500
2007,Los Angeles Angels,36,109251333
2006,Arizona Diamondbacks,2,59684226
2006,Atlanta Braves,3,90156876
2006,Baltimore Orioles,4,72585582
2006,Boston Red Sox,5,120099824
2006,Chicago Cubs,6,94424499
2006,Chicago White Sox,7,102750667
2006,Cincinnati Reds,8,60909519
2006,Cleveland Indians,35,56031500
2006,Colorado Rockies,10,41233000
2006,Detroit Tigers,11,82612866
2006,Florida Marlins,34,14998500
2006,Houston Astros,13,92551503
2006,Kansas City Royals,14,47294000
2006,Los Angeles Dodgers,15,98447187
2006,Milwaukee Brewers,16,57568333
2006,Minnesota Twins,17,63396006
2006,New York Mets,19,101084963
2006,New York Yankees,20,194663079
2006,Oakland Athletics,21,62243079
2006,Philadelphia Phillies,22,88273333
2006,Pittsburgh Pirates,23,46717750
2006,San Diego Padres,24,69896141
2006,San Francisco Giants,25,90056419
2006,Seattle Mariners,26,87959833
2006,St. Louis Cardinals,27,88891371
2006,Tampa Bay Rays,28,35417967
2006,Texas Rangers,29,68228662
2006,Toronto Blue Jays,30,71915000
2006,Washington Nationals,32,63143000
2006,Los Angeles Angels,36,103472000
2005,Arizona Diamondbacks,2,62329166
2005,Atlanta Braves,3,86457302
2005,Baltimore Orioles,4,73914333
